Category,Title,Offer,Card Type,Detail URL
"Dining","Cinnamon Grand Colombo","20% Savings on dine-in at Cinnamon Grand Colombo with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/cinnamon-grand-colombo"
"Dining","Cinnamon Lakeside","Up to 25% Savings on dine-in at Cinnamon Lakeside with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/cinnamon-lakeside"
"Dining","Galle Face Hotel","20% Savings on dine-in at Galle Face Hotel Colombo with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/galle-face-hotel"
"Dining","Taj Samudra - Colombo","20% Savings on dine-in at Taj Samudra – Colombo with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/taj-samudra-colombo"
"Dining","ISSO","20% Savings on dine-in at ISSO with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/isso"
"Dining","Colombo Steak House","20% Savings on dine-in at Colombo Steak House with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/colombo-steak-house"
"Dining","Food Studio - One Galle Face","20% Savings for bills above Rs. 2,500/- at Food Studio - One Galle Face with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/food-studio-one-galle-face"
"Dining","Layards Wharf by Food Studio","20% Savings for bills above Rs.2,500/- at Layards Wharf with DFCC Credit Cards","","https://www.dfcc.lk/cards/cards-promotions/layards-wharf-by-food-studio"
"Dining","The Blue Orbit By Citrus","20% Savings at The Blue Orbit by Citrus with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/the-blue-orbit-by-citrus"
"Dining","The & Co Pub and Kitchen","20% Savings at The & Co Pub and Kitchen for bills above Rs.5,000/- with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/the-and-co-pub-and-kitchen"
"Dining","Ceylon Curry Club","20% Savings for bills above Rs. 5,000/- at Ceylon Curry Club with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/ceylon-curry-club"
"Dining","Siam House","20% Savings on dine-in at Siam House with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/siam-house"
"Dining","Main Sports Bar and Restaurant","25% Savings on dine-in for bills above Rs. 5,000/- at Main Sports Bar and Restaurant with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/main-sports-bar-and-restaurant"
"Dining","Chambers   Logo","20% Savings on dine-in at Chambers with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/chambers-park-street-mews"
"Dining","Crystal Jade","25% Savings for bills above Rs. 2,500/- at Crystal Jade with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/crystal-jade"
"Dining","Burger King","25% Savings for bills above Rs. 2,500/- at Burger King with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/burger-king"
"Dining","Baskin Robbins","25% Savings for bills above Rs. 2,500/- at Baskin Robbins with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/baskin-robbins"
"Dining","POPEYES","25% Savings for bills above Rs. 2,500/- at POPEYES with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/popeyes"
"Dining","Delifrance","25% Savings for bills above Rs. 2,500/- at Delifrance with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/delifrance"
"Dining","Subway","25% Savings for bills above Rs. 2,500/- at Subway with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/subway"
"Dining","Pizza Hut","Buy 1 Large Pan Pizza & Get 1 Large Delight Pan Pizza Free with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/pizza-hut-2"
"Dining","Döner & Dürüm","20% Savings for bills above Rs. 2,500/- at Döner & Dürüm with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/doner-and-durum"
"Dining","The Urban Keg - Kandy","20% Savings at The Urban Keg - Kandy with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/the-urban-keg-kandy"
"Dining","One Ocean at Port City","20% Savings on dine-in at One Ocean for bills above Rs. 5,000 with DFCC Credit Cards","","https://www.dfcc.lk/cards/cards-promotions/one-ocean-at-port-city"
"Dining","Lebanan Chef - Colombo 03","20% Savings on dine-in at Lebanan Chef for bills above Rs. 5,000/- with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/lebanan-chef-colombo-03"
"Dining","Hello Beirut by Lebanan Chef","20% Savings on dine in at Hello Beirut by Lebanan Chef for bills above Rs. 5,000 with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/hello-beirut-by-lebanan-chef"
"Dining","Carnival Ice Cream – Colombo 03","25% Savings at for bills above Rs. 1,500/- with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/carnival-ice-cream-colombo-03"
"Dining","Café Kinross","25% Savings for bills above Rs. 2,500/- at Cafe Kinross with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/cafe-kinross"
"Dining","The Joint Pub and Gril","20% Savings on dine-in for bills above Rs. 2,500/- at The Joint Pub and Gril with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/the-joint-pub-and-gril"
"Dining","Great Wall Restaurants","25% Savings at Great Wall Restaurants for bills above Rs. 3,000 with DFCC Credit Cards","","https://www.dfcc.lk/cards/cards-promotions/great-wall-restaurants"
"Dining","Cafe 1959 by Raux Brothers","20% Savings on dine-in at Cafe 1959 by Raux Brothers for bills above Rs.2,500 with DFCC Credit Cards","","https://www.dfcc.lk/cards/cards-promotions/cafe-1959-by-raux-brothers"
"Dining","Burleys   Logo","15% Savings at Burleys with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/burleys"
"Dining","NH Collection","20% Savings on Dinner buffet at NH Collection – Colombo with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/nh-collection-2"
"Dining","MaRadha Colombo","10% Savings for bills above Rs. 20,000/- at MaRadha Colombo with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/maradha-colombo"
"Dining","Radisson Hotel – Colombo","20% Savings on Dinner buffets for minimum 2 Pax at Radisson Hotel – Colombo with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/radisson-hotel-colombo"
"Dining","Radisson Hotel – Kandy","20% Savings on Dinner buffets for minimum 2 Pax at Radisson Hotel - Kandy with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/radisson-hotel-kandy"
"Dining","Navro Seafood Family Restaurant","20% Savings at Navro Seafood Family Restaurant with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/navro-seafood-family-restaurant"
"Dining","Grand Sky Lounge","15% Savings on Dine-in at Grand Sky Lounge with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/grand-sky-lounge"
"Dining","V Eleven One restaurant","10% Savings for bills above Rs.5,000 at V Eleven One Restaurant with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/v-eleven-one-restaurant-3"
"Dining","Headquarters by W15","20% Savings on dine-in for bills above Rs. 2,500/- with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/headquarters-by-w15"
"Supermarket","Keells","30% Savings on Fresh Vegetables, Fruit, Seafood & Fresh Meat, for bills above Rs. 5,000/- with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/keells-promotion"
"Supermarket","Laugfs Promotion","10% Savings on the Total Bill at Laugfs Super for bills over Rs. 5,000/- with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/laugfs-promotion"
"Supermarket","Spar Supermarkets","20% Savings on Total Bill at SPAR Supermarket for bills over Rs. 10,000/- with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/spar-supermarkets"
"Supermarket","Spar Web Banners","25% Savings on Total Bill at SPAR Supermarket for bills over Rs. 10,000/- with DFCC Pinnacle Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/spar-supermarkets-2"
"Supermarket","Glomark Supermarkets","25% Savings at GLOMARK Supermarkets for bills above Rs. 7,500/- with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/glomark-supermarkets"
"Supermarket","Cargills Food City","25% Savings on Fresh Vegetables, Fruits & Seafood at all Cargills Food City, Express & Food Hall outlets for bills over Rs. 5,000/- with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/cargills-food-city"
"Online","Myshop Logo WBG 01 (2)","15% Savings at www.atlas.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/www-atlas-lk"
"Online","Wasi.lk","12 & 24 Months 0% Easy Payment Plans at Wasi.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/wasi-lk"
"Online","Daraz.lk","12 & 24 Months 0% Easy Payment Plans at Daraz.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/daraz-lk"
"Online","www.bigdeals.lk","12 & 24 Months 0% Easy Payment Plans at www.bigdeals.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/www-bigdeals-lk"
"Online","ZIE Fashion","25% Savings at ZIE and www.zie.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/zie-fashion"
"Online","Deedat","20% Savings at DEEDAT and www.deedatclothing.com (Promo Code: DFCC20D) with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/deedat"
"Online","5th avenue","20% Savings on Steve Madden New York Shoes & Handbags at 5thavenue.lk with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/5thavenue-lk"
"Online","Wasi logo","20% Savings and 12 & 24 months 0% Easy Payment Plans at www.wasi.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/wasi-lk-2"
"Online","Galleria Milano","20% Savings at galleriamilanoshop.com with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/galleria-milano"
"Online","Screenshot 26 3 2026 165450 ","20% Savings at www.pegada.lk with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/www-pegada-lk"
"Online","VES clothing","25% Savings at vesclothing.com with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/vesclothing-com"
"Travel","Travelo Travel","Enjoy Rs. 10,000/- Savings on booking at Travelo Travel and 12 & 24 months 0% Easy Payment Plans with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/travelo-travel"
"Travel","Umrah Travel","Enjoy up to 35% Savings on flights, hotels & dining with your DFCC VISA Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/umrah-travel"
"Travel","www.crazyjets.com","15% Savings on the base fare to any destination at www.crazyjets.com and 12 & 24 months 0% Easy Payment Plans with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/www-crazyjets-com-2"
"Travel","Find My Fare ","Up to 20% Savings to Any Destination at Selected Airlines on base fare and 12 & 24 months 0% Easy Payment Plans with DFCC Credit Cards at www.findmyfare.com.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/www-findmyfare-com"
"Travel","12 & 24 Months 0% Easy Payment Plans at selected Travel Agents and Airlines with DFCC Credit Cards.","12 & 24 Months 0% Easy Payment Plans at selected Travel Agents and Airlines with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/12-and-24-months-0-easy-payment-plans-on-selected-travel-category-merchants-with-dfcc-credit-cards"
"Hotels","Earl's Regent Negombo","Up to 25% Savings at Earl's Regent Negombo on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/earl-s-regent-negombo"
"Hotels","Edwards Collection","20% Savings at Edwards Collections for double room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/edwards-collection"
"Hotels","Fox Resorts","35% Savings at Fox Resorts - Kandy & Jaffna on double & triple room bookings with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/fox-resorts"
"Hotels","Aarunya Nature Resort & Spa","35% Savings at Aarunya Nature Resort & Spa on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/aarunya-nature-resort-and-spa"
"Hotels","Aavya Cove - Balapitiya","35% Savings at Aavya Cove - Balapitiya on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/aavya-cove-balapitiya"
"Hotels","Anantaya Resorts & Spa - Pasikudah","50% Savings at Anantaya Resorts & Spa, Pasikudah on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/anantaya-resorts-and-spa-pasikudah"
"Hotels","Anantaya Resorts & Spa - Chilaw","40% Savings at Anantaya Resorts & Spa, Chilaw on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/anantaya-resorts-and-spa-chillaw"
"Hotels","Uga Bay, Passikudah","45% Savings at Uga Bay, Passikudah on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/uga-bay-passikudah"
"Hotels","Uga Jungle Beach","45% Savings at Uga Jungle Beach, Trincomalee on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/uga-jungle-beach"
"Hotels","Uga Prava, Tangalle","20% Savings at Uga Prava, Tangalle on double & triple room bookings on half board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/uga-prava-tangalle"
"Hotels","Citrus – Hikkaduwa","15% Savings at Citrus - Hikkaduwa for double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/citrus-hikkaduwa"
"Hotels","Citrus Waskaduwa","15% Savings at Citrus - Waskaduwa for double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/citrus-waskaduwa"
"Hotels","Araliya Beach Resorts and Spa - Unawatuna","30% Savings at Araliya Beach Resorts - Unawatuna for double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/araliya-beach-resorts-and-spa-unawatuna"
"Hotels","Araliya Green City - Nuwara Eliya","20% Savings at Araliya Green City for double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/araliya-green-city-nuwara-eliya"
"Hotels","Apa Villa Thalpe","20% Savings at Apa Villa Thalpe on double and triple rooms bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/apa-villa-thalpe-3"
"Hotels","Era Beach – Thalpe","20% Savings at Era Beach Thalpe on double and triple rooms bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/era-beach-thalpe-2"
"Hotels","Amagi Aria - Negombo","Up to 20% Savings at Amagi Aria - Negombo on double, triple room bookings on half board and full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/amagi-aria-negombo-3"
"Hotels","Amagi Beach - Marawila","Up to 20% Savings at Amagi Beach - Marawila on double, triple room bookings on half board and full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/amagi-beach-marawila-2"
"Hotels","Luxor Kirindi Ella","20% Savings at Luxor Hotels on double & triple room bookings on bed & Breakfast stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/luxor-kirindi-ella"
"Hotels","Browns Hotels & Resorts","20% Savings at Browns Hotels & Resorts on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/browns-hotels-and-resorts"
"Hotels","Elephant Reach Yala","20% Savings at Elephant Reach Yala for double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/elephant-reach-yala"
"Hotels","Amara Sky Hotel – Kandy","40% Savings at Amaara Sky Hotel - Kandy for double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/amaara-sky-hotel-kandy"
"Hotels","Radisson Colombo","10% Savings at Radisson - Colombo on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/radisson-colombo"
"Hotels","Radisson Kandy","10% Savings at Radisson - Kandy on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/radisson-kandy"
"Hotels","Radisson Blu Resort – Galle","10% Savings at Radisson Blu Resort - Galle on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/radisson-blu-resort-galle-2"
"Hotels","Sun Siyam Pasikudah","20% Savings at Sun Siyam - Pasikudha on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/sun-siyam-pasikudah"
"Hotels","Wattura Resort & Spa","35% Savings at Wattura Resort & Spa on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/wattura-resort-and-spa"
"Hotels","Tropical Life Resort & Spa Dambulla","35% Savings at Tropical Life Resort & Spa - Dambulla on double & triple room bookings on half board & full board stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/tropical-life-resort-and-spa-dambulla"
"Hotels","Sooriya Resort & Spa","25% Savings at Sooriya Resort & Spa - Tangalle on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/sooriya-resort-and-spa"
"Hotels","Hunas Falls - Kandy","30% Savings at Hunas Falls - Kandy on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/hunas-falls-kandy"
"Hotels","Jie Jie Beach Hotel – Panadura","20% Savings at Jie Jie Beach Panadura on double & triple room bookings on half board and full board  basis stays with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/jie-jie-beach-hotel-panadura"
"Hotels","Grand Udawalawe Safari Resort","30% Savings at Grand Udawalawe Safari Resort on double room bookings on full board basis stays with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/grand-udawalawe-safari-resort"
"Hotels","The Glenrock – Belihuloya","25% Savings at The Glenrock - Belihuloya on double and triple rooms bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/the-glenrock-belihuloya"
"Hotels","Grand Serendib Hotel","30% Savings at Grand Serendib on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/grand-serendib-hotel"
"Hotels","Trio Lodge - Habarana","35% Savings at Trio Lodge - Habarana on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/trio-lodge-habarana"
"Hotels","Taj Bentota","25% Savings at Taj Bentota Resort & Spa on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/taj-bentota-2"
"Hotels","Marina by DAE","20% Savings at Marina by DAE on double room bookings on Half Board Basis Stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/marina-by-dae"
"Hotels","Kandy City Hotel","20% Savings at Kandy City Hotel on double & triple room bookings on half board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/kandy-city-hotel"
"Hotels","Goldi Sands Hotel - Negombo","25% Savings at Goldi Sands Hotel - Negombo on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/goldi-sands-hotel-negombo"
"Hotels","Amaya Resorts & Spa","Up to 35% Savings at Amaya Resorts & Spas for double & triple room booking on half board and full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/amaya-resorts-and-spa"
"Hotels","Fortress Resort & Spa","25% Savings at Fortress & Spa for double & triple room booking on half board and full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/fortress-resort-and-spa"
"Hotels","Boutique Collection by Amaya","30% Savings at Boutique Collection by Amaya on double and triple room bookings on half board & full Board Basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/boutique-collection-by-amaya"
"Hotels","AVANI Kalutara","30% Savings at Avani - Kalutara on double room bookings on full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/avani-kalutara-resort"
"Hotels","Earl’s Regent Hotel – Kandy","25% Savings at Earls Regent - Kandy on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/earl-s-regent-hotel-kandy"
"Hotels","Water Garden Sigiriya","20% Savings at Water Garden Sigiriya on double & triple room bookings on half board & full board basis stays with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/water-garden-sigiriya"
"Hotels","Villa Talay - Talalla","Up to 15% Savings at Villa Talay - Talalla with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/villa-talay-talalla"
"Hotels","Sheraton","30% Savings at Sheraton Kosgoda Turtle Beach Resort on double room bookings on Bed & Breakfast, Half Board and Full Board Basis with DFCC Credit Cards","Credit Card","https://www.dfcc.lk/cards/cards-promotions/sheraton-kosgoda-turtle-beach-resort"
"Hotels","Villa Lagoonscape - Negombo","35% Savings on Full Villa bookings at Villa Lagoonscape - Negombo with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/villa-lagoonscape-negombo"
"Hotels","Kixi Beach Villa - Talpe","35% Savings on villa bookings on bed & breakfast basis at Kixi Beach Villa - Talpe with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/kixi-beach-villa-talpe-2"
"Hotels","The Coast - Bentota","25% Savings on villa bookings on bed & breakfast basis at The Coast - Bentota with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/the-coast-bentota"
"Hotels","Villa De Jo Jo - Galle","30% Savings on double room bookings on bed & breakfast basis at Villa De Jo Jo - Galle with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/villa-de-jo-jo-galle"
"Hotels","Villa 46","Up to 30% Savings at Villa 46 - Hikkaduwa with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/villa-46"
"Hotels","Bilin Tree House - Galle","30% Savings at Bilin Tree House - Galle with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/bilin-tree-house-galle"
"Hotels","Green Casa - Galle","30% Savings double room bookings on bed & breakfast basis at Green Casa - Galle with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/green-casa-galle"
"Hotels","Chimneys - Nuwara Eliya","30% Savings on double & triple room bookings on bed & breakfast basis at Chimneys - Nuwara Eliya with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/chimneys-nuwara-eliya"
"Hotels","Wild Trail Yala","30% Savings on double room bookings on half board basis at Wild Trail Yala with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/wild-trail-yala"
"Hotels","Grand Samudra - Tangalle","35% Savings on double & Quadriple room bookings on bed & breakfast basis at Grand Samudra - Tangalle with DFCC Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/grand-samudra-tangalle"
"Hotels","Go to relivenet page","","","https://www.dfcc.lk#"
"Pinnacle","Spar Web Banners","25% Savings on Total Bill at SPAR Supermarket for bills over Rs. 10,000/- with DFCC Pinnacle Credit Cards.","Credit Card","https://www.dfcc.lk/cards/cards-promotions/spar-supermarkets-2"